https://en.wikipedia.org/wiki/Battle_of_the_Golden_Spurs,1302,1302,"['County of Flanders', 'County of Namur']",['Kingdom of France'],Battle of the Golden Spurs,"['Kortrijk', 'County of Flanders']",405,2513,37208,27512,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1302,1302,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1303,1303,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1303,1303,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1303,1303,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Happrew,1304,1304,['Kingdom of Scotland'],['Kingdom of England'],Battle of Happrew,"['Peebles', 'Scotland']",unknown,unknown,550,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1304,1304,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1304,1304,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Amroha,1305,1305,['Chagatai Khanate'],['Delhi Sultanate'],Battle of Amroha,['Amroha district'],29000,unknown,80000,30000,False,1
https://en.wikipedia.org/wiki/Battle_of_Methven,1306,1306,['Kingdom of Scotland'],['Kingdom of England'],Battle of Methven,['Perth'],unknown,unknown,4500,3000,False,1
https://en.wikipedia.org/wiki/Battle_of_Loudoun_Hill,1307,1307,['Kingdom of Scotland'],['Kingdom of England'],Battle of Loudoun Hill,"['Loudoun Hill', 'Ayrshire']",unknown,1,601,3001,False,1
https://en.wikipedia.org/wiki/Battle_of_Halmyros,1311,1311,['Catalan Company'],['Duchy of Athens'],Battle of Halmyros,"['Halmyros', 'Boeotic Cephissus', 'Orchomenos']",unknown,unknown,13500,45100,False,1
https://en.wikipedia.org/wiki/Battle_of_Gallipoli_(1312),1312,1312,['Turcopoles'],"['Byzantine Empire', 'Kingdom of Serbia']",Battle of Gallipoli (1312),"['Gallipoli', 'Byzantine Empire', 'Turkey']",unknown,unknown,2000,2000,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1312,1312,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
