Afghanistan,Islam
Albania,Islam
Algeria,Islam
Andorra,Roman
Angola,Roman
Antigua and Barbuda,Christian
Argentina,Roman
Armenia,Christian
Australia,Roman
Austria,Roman
Azerbaijan,Islam
Bahamas,Roman
Bahrain,Islam
Bangladesh,Islam
Barbados,Protestant
Belarus,Roman
Belgium,Roman
Belize,Roman
Benin,Benin
Bhutan,Buddhist
Bolivia,Roman
Bosnia and Herzegovina,Islam
Botswana,Christian
Brazil,Roman
Brunei,Islam
Bulgaria,Islam
Burkina Faso,Islam
Burundi,Roman
Cambodia,Buddhist
Cameroon,Cameroon
Canada,Roman
Cape Verde,Roman
Central African Republic,Central African Republic
Chad,Islam
Chile,Roman
China,Christian
Colombia,Roman
Comoros,Roman
"Congo, Democratic Republic of the",Roman
"Congo, Republic of",Christian
Costa Rica,Roman
Cte d'Ivoire,Cte d'Ivoire
Croatia,Roman
Cuba,Roman
Cyprus,Islam
Czech Republic,Roman
Denmark,Protestant
Djibouti,Islam
Dominica,Roman
Dominican Republic,Roman
East Timor,Roman
Ecuador,Roman
Egypt,Islam
El Salvador,Catholic
Equatorial Guinea,Christian
Eritrea,Roman
Estonia,Christian
Ethiopia,Islam
Fiji,Christian
Finland,Christian
France,Roman
Gabon,Christian
Gambia,Islam
Georgia,Islam
Germany,Protestant
Ghana,Christian
Greece,Islam
Grenada,Roman
Guatemala,Roman
Guinea,Islam
Guinea-Bissau,Guinea-Bissau
Guyana,Christian
Haiti,Roman
Honduras,Roman
Hungary,Roman
Iceland,Roman
India,Hindu
Indonesia,Islam
Iran,Islam
Iraq,Islam
Ireland,Roman
Israel,Judaism
Italy,Roman
Jamaica,Protestant
Japan,Buddhist
Jordan,Islam
Kazakhstan,Islam
Kenya,Protestant
Kiribati,Roman
"Korea, North",Buddhist
"Korea, South",Christian
Kuwait,Islam
Kyrgyzstan,Islam
Laos,Buddhist
Latvia,Roman
Lebanon,Islam
Lesotho,Christian
Liberia,Christian
Libya,Islam
Liechtenstein,Roman
Lithuania,Roman
Luxembourg,Roman
Macedonia,Islam
Madagascar,Madagascar
Malawi,Christian
Malaysia,Islam
Maldives,Islam
Mali,Islam
Malta,Roman
Marshall Islands,Protestant
Mauritania,Islam
Mauritius,Hindu
Mexico,Roman
Micronesia,Roman
Moldova,Orthodox
Monaco,Roman
Mongolia,Buddhist
Montenegro,Roman
Morocco,Islam
Mozambique,Islam
Myanmar,Buddhist
Namibia,Christian
Nauru,Christian
Nepal,Hindu
Netherlands,Roman
New Zealand,Roman
Nicaragua,Roman
Niger,Islam
Nigeria,Islam
Norway,Roman
Oman,Hindu
Pakistan,Islam
Palau,Roman
Palestinian,Islam
Panama,Roman
Papua New Guinea,Roman
Paraguay,Roman
Peru,Roman
Philippines,Roman
Poland,Roman
Portugal,Roman
Qatar,Islam
Romania,Protestant
Russia,Christian
Rwanda,Roman
St. Kitts and Nevis,Roman
St. Lucia,Roman
St. Vincent and the Grenadines,Roman
Samoa,Roman
San Marino,Roman
So Tom and Prncipe,Catholic
Saudi Arabia,Islam
Senegal,Islam
Serbia,Roman
Seychelles,Roman
Sierra Leone,Islam
Singapore,Buddhist
Slovakia,Roman
Slovenia,Catholic
Solomon Islands,Roman
Somalia,Islam
South Africa,Christian
Spain,Roman
Sri Lanka,Buddhist
Sudan,Islam
Suriname,Hindu
Swaziland,Swaziland
Sweden,Roman
Switzerland,Roman
Syria,Islam
Taiwan,Christian
Tajikistan,Islam
Tanzania,Christian
Thailand,Buddhist
Togo,Christian
Tonga,Christian
Trinidad and Tobago,Roman
Tunisia,Islam
Turkey,Islam
Turkmenistan,Islam
Tuvalu,Tuvalu
Uganda,Roman
Ukraine,Catholic
United Arab Emirates,Islam
United Kingdom,Christian
United States,Protestant
Uruguay,Roman
Uzbekistan,Islam
Vanuatu,Roman
Vatican City,Roman
Venezuela,Roman
Vietnam,Buddhist
Western Sahara,Islam
Yemen,Islam
Zambia,Christian
Zimbabwe,Zimbabwe
