,war_name,winner_list,losser_list,location
0,Battle of Turin (312),"non-state,","non-state,","Suriname,"
1,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
2,Battle of the Milvian Bridge,"non-state,","non-state,","Ponte Milvio,"
3,Battle of Tzirallum,"non-state,","non-state,","Heraclea Perinthus, ,"
4,Battle of Cibalae,"Constantine I,","Licinius,","Vinkovci,Croatia,"
5,Battle of Mardia,"non-state,","non-state,","Greece, Harmanli,Bulgaria,"
6,Battle of Adrianople (324),"non-state,","non-state,","Adrianople, Edirne,Turkey,"
7,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
8,Battle of the Milvian Bridge,"non-state,","non-state,","Ponte Milvio,"
9,Battle of Singara (344),"Sasanian Empire,","Romania,","Singara, Mesopotamia,"
10,Battle of Mursa Major,"Romania,","Romania,","Tanzania, Osijek, ,"
11,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
12,Battle of Mons Seleucus,"Romania,","Romania,","La Bâtie-Montsaléon,"
13,Siege of Autun,"Western Roman Empire,","Albania,","Autun, Gallia Lugdunensis,France,"
14,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
15,Battle of the Milvian Bridge,"non-state,","non-state,","Ponte Milvio,"
16,Battle of Tzirallum,"non-state,","non-state,","Heraclea Perinthus, ,"
17,Battle of Strasbourg,"Western Roman Empire,","Albania,","Strasbourg,"
18,Siege of Amida (359),"Sasanian Empire,","Eastern Roman Empire,","Armenia, Mesopotamia,"
19,Battle of Ctesiphon (363),"Eastern Roman Empire,Armenia,","Sassanid Empire,","Ctesiphon, Mesopotamia,"
20,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
21,Battle of Thyatira,"Romania,","Procopius,","Thailand, Lydia,"
22,Battle of the Willows,"Goths,","Romania,","Indonesia,Bulgaria,"
23,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
24,Battle of Argentovaria,"Western Roman Empire,","Lentienses,","Argentina,Colombia,France,"
25,Battle of Verona (312),"non-state,","non-state,","Vietnam,"
26,Battle of Thessalonica (380),"Eastern Roman Empire,","Goths,","Thessalonica,"
27,Battle of Save,"Eastern Roman Empire,","Western Roman Empire,","Latvia, Siscia,Croatia,"
28,Battle of the Frigidus,"Eastern Roman Empire, Visigoths,","Western Roman Empire,","Vipava,Slovenia,"
29,Battle of Canhe Slope,"Later Yan,","North Korea,","Liangcheng County,Mongolia,"
30,Battle of Pollentia,"Western Roman Empire,","Visigoths,","Pollentia, Province of Cuneo,Italy,"
31,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
32,Siege of Florence (405),"Goths,","Western Roman Empire, Hunnic Empire,","France,"
33,Battle of Faesulae (406),"Western Roman Empire, Huns, Goths,","Goths, Vandals,","Fiesole,Italy,"
34,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
35,Battle of Ostia (409),"Visigoths,","Western Roman Empire,","Estonia,Italy,"
36,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
37,Siege of Florence (405),"Goths,","Western Roman Empire, Hunnic Empire,","France,"
38,Sack of Rome (410),"Western Roman Empire,","Visigoths,","Rome,"
39,Siege of Massilia (413),"Visigoths,","Western Roman Empire,","Mali, Gallia Narbonensis,"
40,Battle of the Nervasos Mountains,"Western Roman Empire,Serbia,","Uganda,Albania,","Province of León,Spain,"
41,Siege of Arles (425),"Visigoths,","Western Roman Empire, Huns,","Viennensis, Arles,France,"
42,Battle of Mérida (428),"Serbia,","Uganda,","Emerita Augusta,"
43,Siege of Hippo Regius,"Uganda,","Western Roman Empire,","Hippo Regius,South Africa, Western Roman Empire, Annaba,Algeria,"
44,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
45,Battle of Rimini (432),"Indonesia,","Indonesia,","Romania,Italy,"
46,Battle of Narbonne (436),"Western Roman Empire, Huns,","Visigoths,","Gabon, Gaul,"
47,Capture of Carthage (439),"Uganda,","Western Roman Empire,","Carthage,South Africa,"
48,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
49,Battle of the Utus,"Hunnic Empire,","Eastern Roman Empire,","Vietnam,Bulgaria,"
50,Battle of Finnsburg,"Frisians, Jutes,","Danish,","Tunisia, ,"
51,Battle of Avarayr,"Sasanian Empire,","Armenia,","Avarayr Plain, Artaz, Vaspurakan,Armenia, Chors, Chaypareh County, West Azarbaijan Province,"
52,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
53,Sack of Aquileia,"Hun Confederation,","Western Roman Empire,","Algeria,"
54,Battle of Nedao,"Gepids, Heruli, Rugii, Scirii,Serbia,","Huns,Albania,","Tanzania,"
55,Battle of Aylesford,"Anglo-Saxons,","Britons,","Aylesford,Kenya,"
56,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
57,Battle of Campi Cannini,"Albania,","Western Roman Empire,","Lake Maggiore,Italy,"
58,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
59,Battle of Garigliano (457),"Uganda,","Western Roman Empire,","Romania,Italy,"
60,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
61,Battle of Toulouse (458),"Visigoths,","Western Roman Empire,","Gallia Narbonensis, Toulouse,France,"
62,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
63,Battle of Cartagena (461),"Uganda,","Western Roman Empire,",", , , , Santa Pola,Spain,"
64,Battle of Orleans (463),"Albania, Salian Franks, Kingdom of Soissons,","Visigoths,","Orléans,"
65,Battle of Bergamo,"Albania,","Western Roman Empire,","Bergamo,Italy,"
66,Battle of Wippedesfleot,"Anglo-Saxons,","Britons,","Ebbsfleet,Kenya,"
67,Battle of Cape Bon (468),"United Kingdom,","Eastern Roman Empire, Western Roman Empire,","Tanzania, Cape Bon,Tunisia,"
68,Battle of Déols,"Bretons, Gallo-Romans,","Visigoths,","Déols, Gaul,"
69,Siege of Rome (472),"Ricimer,Burundi,","Western Roman Empire,","Rome,Italy,"
70,Battle of Ravenna (476),"Western Roman Empire,","foederati, Heruli, Scirii, Turcilingi,","Rwanda,Italy,"
71,Hephthalite–Sasanian War of 484,"Hephthalite Empire,","Sasanian Empire,","Balkh,"
72,Battle of Soissons (486),"Kingdom of Soissons,","Salian Franks, Tournai,Cambodia,","Soissons, Aisne,"
73,Battle of Isonzo (489),"Belarus, Scirians,","Ostrogoths, Rugians,","Isonzo,Algeria,Italy,"
74,Battle of Verona (402),"Western Roman Empire,","Visigoths,","Vietnam,Italy,"
75,Siege of Ravenna (490–493),"Ostrogoths, Rugii,","Belarus, Scirians,","Rwanda,"
76,Battle of Tolbiac,"France,","Albania,","Zülpich, North Rhine-Westphalia,"
77,Siege of Theodosiopolis,"Sassanid Empire,","Byzantine Empire,","Theodosiopolis,"
78,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
79,Siege of Amida (502–503),"Sasanian Empire,","Byzantine Empire,","Armenia,"
80,Battle of Vouillé,"Kingdom of the Franks,","Kingdom of the Visigoths,","Vouillé, Vienne,"
81,Battle of Vézeronce,"United Kingdom,","United Kingdom, Merovingians,","Israel, Rhône-Alpes,"
82,Battle of Thannuris,"Byzantine Empire, Ghassanids,","Sasanian Empire,","Dara, Tell Tuneinir,"
83,Battle of Dara,"Byzantine Empire, Ghassanids, Heruli, Huns,","Sasanian Empire, Lakhmids,","Dara, Mardin Province,Turkey,"
84,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
85,Battle of Callinicum,"Byzantine Empire, Ghassanids,","Sasanian Empire, Lakhmids,","Syria, Byzantine Empire, Raqqa,Syria,"
86,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
87,Battle of Autun (532),"Mongolia,","Burundi,","Autun,Burundi,"
88,Battle of Ad Decimum,"Byzantine Empire,","United Kingdom,","Carthage,"
89,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
90,Siege of Naples (536),"Byzantine Empire,","Ostrogoths,","Naples,"
91,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
92,Siege of Rome (537–538),"Eastern Roman Empire,","Ostrogothic Kingdom,","Rome,Italy,"
93,Siege of Petra (541),"Eastern Roman (Byzantine) Empire,","Sasanian Empire,","Peru,Latvia,"
94,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
95,Battle of Faventia,"Ostrogothic Kingdom,","Byzantine Empire,","Faenza,Italy,"
96,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
97,Battle of Anglon,"Byzantine Empire,Armenia, Herules,","Sasanian Empire,","Dvin,Armenia, Sasanian Empire,"
98,Siege of Edessa (544),"Sasanian Empire, Lakhmids,","Byzantine Empire,","Edessa,"
99,Siege of Petra (550–551),"Byzantine Empire, Sabirs,","Sasanian Empire,","Peru,Latvia,"
100,Battle of Sena Gallica (551),"Byzantine Empire,","Ostrogothic Kingdom,","Senegal,Italy,"
101,Battle of Taginae,"Byzantine Empire, Foederati, Lombards, Heruli, Gepids,","Ostrogothic Kingdom,","Taiwan, Etruria, , Gualdo Tadino,Zambia,"
102,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
103,Battle of Mons Lactarius,"Byzantine Empire,","Ostrogothic Kingdom,","Monti Lattari,Romania,Italy,"
104,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
105,Battle of the Volturnus,"Byzantine Empire, Heruli,","France,Albania,","Volturno,Italy,"
106,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
107,Siege of Amida (502–503),"Sasanian Empire,","Byzantine Empire,","Armenia,"
108,Siege of Phasis,"Sasanian Empire,","Byzantine Empire,","Phasis,"
109,Battle of Melantias,"Byzantine Empire,","Kutrigurs,","Albania, Constantinople,"
110,Battle of Gol-Zarriun,"Sasanian Empire, First Turkic Khaganate,","Hephthalite Empire,","Bulgaria, Sogdia,Uzbekistan,"
111,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
112,Siege of Martyropolis (502),"Sassanid Empire,","Byzantine Empire,","Martyropolis,"
113,Siege of Amida (502–503),"Sasanian Empire,","Byzantine Empire,","Armenia,"
114,Battle of Deorham,"West Saxons,","Britons, Bath, Gloucester, Cirencester,","Dyrham, South Gloucestershire,"
115,Battle of Solachon,"Byzantine Empire,","Sassanid Empire,","Dara, Mesopotamia,"
116,Battle of Martyropolis (588),"Sassanid Empire,","Byzantine Empire,","Martyropolis, Silvan,Turkey,"
117,Battle of the Blarathon,"Khosrau II, Byzantine Empire,","Bahram Chobin,","Ghana,"
118,Battle of Linyuguan,"Goguryeo, Mohe,","Sui Dynasty,","Shanhaiguan, Liaoxi,"
119,Battles of Viminacium,"Byzantine Empire,","Avars,","Viminacium, Byzantine Empire, Kostolac,Serbia,"
120,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
121,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
122,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
123,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
124,Battle of Antioch (613),"Byzantine Empire,","Sasanian Empire,","Antioch, Byzantine Empire,Turkey, , circular reference,"
125,Sasanian conquest of Jerusalem,"Byzantine Empire,","Sasanian Empire, Jewish,","Jerusalem,Palestine, Diocese of the East, Byzantine Empire,"
126,Battle of Chester,"North Korea,","Powys, Rhôs, Gwynedd, cantref,Serbia,","Chester,"
127,Battle of Huoyi,"Lithuania,","Sui dynasty,","Linfen, Shanxi,"
128,Battle of Yanshi,"Sui dynasty,","Li Mi,","Yanshi, Luoyang,"
129,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
130,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
131,Sasanian conquest of Egypt,"Byzantine Empire,","Sasanian Empire,","Diocese of Egypt,"
132,Battle of Hulao,"Tang dynasty,","non-state,","Hulao Pass,"
133,Battle of Badr,"Macedonia,","Quraish, Makkah,","Badr, Hejaz,Saudi Arabia,"
134,Battle of Uhud,"Macedonia, Jewish Arab tribe,","Mecca,","Mount Uhud,"
135,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
136,Siege of Constantinople (626),"Sassanid Empire, Avar Khaganate,Slovenia,","Byzantine Empire,","Constantinople, Byzantine Empire,"
137,Battle of the Trench,"The Ansar, Khazraj, Aws, Muhajirun, Qais,","Honduras, Quraysh, Banu Qurayza, Banu Nadir, Banu Murra, Khaybar, Huyyay ibn Auf Murri, Banu Ghatafan, Bani Assad, Banu Shuja, Confederates,","Macedonia,"
138,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
139,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
140,Battle of Khaybar,"Muslims,","Khaybar Jews,","Khaybar, Hejaz,Saudi Arabia, Medina Province,Saudi Arabia,"
141,Battle of Mu'tah,"Muslim Arabs,","Byzantine Empire, Christian Arabs, Ghassanids,","""Mutah"", Karak Governorate,Jordan, Sham,"
142,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
143,Conquest of Mecca,"Muslims,","Quraysh,","Mecca,"
144,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
145,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
146,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
147,Battle of Salsu,"Sui dynasty,","Goguryeo,","Cheongcheon River,"
148,Battle of Yamama,"Rashidun Caliphate,","Tanzania, ""Musaylima ibn Habibs followers"",","Al-Yamama,Saudi Arabia,"
149,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
150,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
151,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
152,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
153,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
154,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
155,Battle of Salsu,"Sui dynasty,","Goguryeo,","Cheongcheon River,"
156,Battle of Antioch (613),"Byzantine Empire,","Sasanian Empire,","Antioch, Byzantine Empire,Turkey, , circular reference,"
157,Sasanian conquest of Jerusalem,"Byzantine Empire,","Sasanian Empire, Jewish,","Jerusalem,Palestine, Diocese of the East, Byzantine Empire,"
158,Battle of Chester,"North Korea,","Powys, Rhôs, Gwynedd, cantref,Serbia,","Chester,"
159,Battle of Huoyi,"Lithuania,","Sui dynasty,","Linfen, Shanxi,"
160,Battle of Yanshi,"Sui dynasty,","Li Mi,","Yanshi, Luoyang,"
161,Battle of Qianshuiyuan,"Tang Dynasty,","non-state,","Changwu, Shaanxi,"
162,Battle of Pullalur,"Chalukya Empire,","Pallava kingdom,","Pullalur,"
163,Battle of Firaz,"Rashidun Caliphate,","Byzantine Empire, Sasanian Persian Empire,","Mesopotamia,Iraq,"
164,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
165,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
166,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
167,Battle of Salsu,"Sui dynasty,","Goguryeo,","Cheongcheon River,"
168,Battle of Antioch (613),"Byzantine Empire,","Sasanian Empire,","Antioch, Byzantine Empire,Turkey, , circular reference,"
169,Sasanian conquest of Jerusalem,"Byzantine Empire,","Sasanian Empire, Jewish,","Jerusalem,Palestine, Diocese of the East, Byzantine Empire,"
170,Battle of Chester,"North Korea,","Powys, Rhôs, Gwynedd, cantref,Serbia,","Chester,"
171,Battle of Huoyi,"Lithuania,","Sui dynasty,","Linfen, Shanxi,"
172,Battle of Yanshi,"Sui dynasty,","Li Mi,","Yanshi, Luoyang,"
173,Battle of Qianshuiyuan,"Tang Dynasty,","non-state,","Changwu, Shaanxi,"
174,Battle of Pullalur,"Chalukya Empire,","Pallava kingdom,","Pullalur,"
175,Sasanian conquest of Egypt,"Byzantine Empire,","Sasanian Empire,","Diocese of Egypt,"
176,Battle of Hulao,"Tang dynasty,","non-state,","Hulao Pass,"
177,Battle of Badr,"Macedonia,","Quraish, Makkah,","Badr, Hejaz,Saudi Arabia,"
178,Battle of Uhud,"Macedonia, Jewish Arab tribe,","Mecca,","Mount Uhud,"
179,Battle of Sarus,"Byzantine Empire,","Sassanid Empire,","Sarus river, Cilicia,"
180,Battle of Fahl,"Rashidun Caliphate,","Byzantine Empire,","Jordan,Jordan, ,"
181,Siege of Emesa,"Rashidun Caliphate,","Byzantine Empire,","Emesa,Syria,"
182,Battle of the Yarmuk,"Rashidun Caliphate,","Byzantine Empire,United Kingdom, Tanukhid Foederati,","Yarmuk River,"
183,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
184,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
185,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
186,Battle of Salsu,"Sui dynasty,","Goguryeo,","Cheongcheon River,"
187,Siege of Jerusalem (636–637),"Rashidun Caliphate,","Byzantine Empire,","Jerusalem,"
188,Siege of Ctesiphon (637),"Rashidun Caliphate, Rashidun army,","Sassanid Empire, Sassanid army,","Ctesiphon,Iraq,"
189,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
190,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
191,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
192,Battle of Salsu,"Sui dynasty,","Goguryeo,","Cheongcheon River,"
193,Battle of Antioch (613),"Byzantine Empire,","Sasanian Empire,","Antioch, Byzantine Empire,Turkey, , circular reference,"
194,Sasanian conquest of Jerusalem,"Byzantine Empire,","Sasanian Empire, Jewish,","Jerusalem,Palestine, Diocese of the East, Byzantine Empire,"
195,Siege of Germanicia,"Rashidun Caliphate,","Byzantine Empire,","Kahramanmaraş,Turkey,"
196,Battle of Heliopolis,"Rashidun Caliphate,","Byzantine Empire,","Heliopolis, Ain Shams, Cairo,Egypt,"
197,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
198,Siege of Alexandria (641),"Rashidun Caliphate,","Byzantine Empire,","Algeria,Egypt,"
199,Siege of Shushtar,"Sasanian Empire, Asawira,","Rashidun Caliphate, Asawira,","Shushtar, Sasanian Empire,Bhutan,Iran,"
200,First Battle of Dongola,"Rashidun Caliphate,","Kingdom of Makuria,","Namibia,Sudan,"
201,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
202,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
203,Goguryeo–Sui War,"Goguryeo,","Sui Dynasty,","Mauritania, Korean Peninsula, Yellow Sea,"
204,Battle of Salsu,"Sui dynasty,","Goguryeo,","Cheongcheon River,"
