,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,label
0,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
3,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
4,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
5,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
6,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
9,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
10,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
11,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
12,Afghanistan,0.0,5529.0,1885.0,6,12.6,1771.0,360.0,470.0,1,24.9,1
13,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
14,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
15,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,2027.0,473.0,8,10.55,1
16,Afghanistan,0.0,5529.0,1885.0,6,12.6,2440.0,5440.0,1305.0,7,17.25,1
17,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
20,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
22,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
24,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
25,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5667.0,1138.0,8,21.4,1
26,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
27,Afghanistan,0.0,5529.0,1885.0,6,12.6,2798.0,4862.0,1034.0,6,17.75,1
28,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
31,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
32,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
34,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
35,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
36,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
37,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
39,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
40,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
41,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
42,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
44,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
47,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
48,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
49,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
50,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
53,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
54,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
55,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
56,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
59,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
60,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
61,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
62,Afghanistan,0.0,5529.0,1885.0,6,12.6,1771.0,360.0,470.0,1,24.9,1
63,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
64,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
65,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,2027.0,473.0,8,10.55,1
66,Afghanistan,0.0,5529.0,1885.0,6,12.6,2440.0,5440.0,1305.0,7,17.25,1
67,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
70,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
72,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
74,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
75,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5667.0,1138.0,8,21.4,1
76,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
77,Afghanistan,0.0,5529.0,1885.0,6,12.6,2798.0,4862.0,1034.0,6,17.75,1
78,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
81,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
82,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
84,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
85,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
86,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
87,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
89,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
90,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
91,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
92,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
94,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
97,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
98,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
99,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
100,Afghanistan,0.0,5529.0,1885.0,6,12.6,1771.0,360.0,470.0,1,24.9,1
101,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
102,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
103,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,2027.0,473.0,8,10.55,1
104,Afghanistan,0.0,5529.0,1885.0,6,12.6,2440.0,5440.0,1305.0,7,17.25,1
105,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
108,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
110,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
112,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
113,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5667.0,1138.0,8,21.4,1
114,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
115,Afghanistan,0.0,5529.0,1885.0,6,12.6,2798.0,4862.0,1034.0,6,17.75,1
116,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
119,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
120,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
122,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
123,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
124,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
125,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
127,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
128,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
129,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
