,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,start_year,finish_year,wars_victory,wars_loses,total_wars_participate,wars_inside_country,imperialism_wars,deimperialism_wars,battles_in_country,label
0,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1996,1996,8.0,13.0,21.0,18.0,3,12,8,1
1,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,2001,2001,8.0,13.0,21.0,18.0,3,12,8,1
2,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,2002,2002,8.0,13.0,21.0,18.0,3,12,8,1
3,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1996,1996,8.0,13.0,21.0,18.0,3,12,8,1
4,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,2001,2001,8.0,13.0,21.0,18.0,3,12,8,1
5,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,2002,2002,8.0,13.0,21.0,18.0,3,12,8,1
6,Afghanistan,0.0,5529.0,1885.0,6,12.6,1771.0,360.0,470.0,1,24.9,1837,1837,8.0,13.0,21.0,18.0,3,12,8,1
7,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1837,1837,8.0,13.0,21.0,18.0,3,12,8,1
8,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1839,1839,8.0,13.0,21.0,18.0,3,12,8,1
9,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1856,1856,8.0,13.0,21.0,18.0,3,12,8,1
10,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,2027.0,473.0,8,10.55,1856,1856,8.0,13.0,21.0,18.0,3,12,8,1
