,Unnamed: 0,country,coast_length,religon,border_length,number_of_borders,temp,sea_level,water_land_ratio,winning_wars,lost_wars,wars_in_country,wars_victory,wars_loses,total_wars_participate,wars_inside_country,imperialism_wars,deimperialism_wars,battles_in_country
0,0, Paracel Islands,518.0,Unknown,2027.0,3,22.35,442.0,,,,,0.0,0.0,0.0,0.0,0,0,0
1,1, Spratly Islands,926.0,Unknown,2027.0,3,22.35,442.0,,,,,0.0,0.0,0.0,0.0,0,0,0
2,2,Afghanistan,0.0,Islam,5529.0,6,12.6,1885.0,0.0,"1420,2309,2506,2746,2793,2802,2876,2879,","34,1437,1901,1902,1913,1922,1924,1926,2328,2750,2789,2876,2879,","584,1420,1437,1704,1901,1902,1913,1916,1922,1924,1926,2309,2328,2506,2750,2789,2876,2879,",8.0,13.0,21.0,18.0,3,12,8
3,3,Akrotiri and Dhekelia,83.8,Unknown,2027.0,3,22.35,442.0,,,,,0.0,0.0,0.0,0.0,0,0,0
4,4,Albania,362.0,Islam,1102.0,6,11.4,708.0,0.328493647912886,"1971,2277,2279,2434,2853,2855,2861,2876,2879,2882,2883,2905,2906,2914,2918,2937,2939,","145,146,288,2355,2573,2944,2949,","20,265,267,288,849,868,877,1230,1246,1278,1297,1725,1756,1770,1774,1782,1784,1984,2054,2230,2381,2821,2849,2852,2853,2855,2861,2905,2906,",17.0,7.0,24.0,29.0,12,1,20
5,5,Algeria,998.0,Islam,6470.0,7,22.5,800.0,0.154250386398763,"174,175,2175,2808,2811,2923,2926,","2418,2669,2706,2709,","133,569,1025,1152,1319,1954,2399,2616,2623,2627,2808,2811,",7.0,4.0,11.0,12.0,5,0,8
6,6,American Samoa,116.0,Unknown,2027.0,3,22.35,442.0,,,,,0.0,0.0,0.0,0.0,0,0,0
7,7,Angola,1661.0,Roman Chatolic,5318.0,6,21.55,1996.0,0.312335464460323,"2157,2661,2724,2776,2842,2846,2847,2848,2885,2887,2923,2925,2926,2927,","2776,","22,475,1145,1149,2057,2157,2271,2276,2493,2636,2661,2723,2736,2776,",14.0,1.0,15.0,14.0,11,1,7
8,8,Antigua and Barbuda,153.0,Christian,1.0,0,26.0,442.0,153.0,"2770,2771,",,,2.0,0.0,2.0,0.0,2,0,0 = []
9,9,Argentina,4989.0,Roman Chatolic,9665.0,5,14.8,595.0,0.516192446973616,"237,238,1753,1791,2793,2802,","1355,1805,1808,1816,1835,2759,2761,2765,2766,2767,2768,","42,735,1057,1062,1209,1355,1427,1439,1499,1753,1809,2220,2894,2898,",6.0,11.0,17.0,14.0,5,1,10
10,10,Armenia,0.0,Christian,1254.0,4,7.15,1792.0,0.0,"176,221,222,2052,2053,2259,2785,2832,2834,2876,2879,2882,2883,","2218,2224,2271,","176,704,1333,2222,2223,2785,2832,2834,",13.0,3.0,16.0,8.0,9,0,4
11,11,Ashmore and Cartier Islands,74.1,Unknown,2027.0,3,22.35,442.0,,,,,0.0,0.0,0.0,0.0,0,0,0
12,12,Australia,25760.0,Roman Chatolic,1.0,0,21.65,330.0,25760.0,"1139,1200,2035,2037,2040,2129,2132,2158,2159,2163,2165,2172,2175,2187,2191,2204,2207,2209,2216,2222,2223,2226,2229,2230,2232,2233,2234,2237,2245,2400,2401,2433,2435,2437,2438,2442,2449,2452,2453,2454,2456,2458,2464,2465,2466,2469,2470,2471,2477,2481,2482,2483,2486,2500,2502,2505,2510,2513,2514,2525,2528,2533,2541,2543,2549,2551,2554,2555,2556,2568,2583,2592,2598,2601,2602,2606,2646,2657,2658,2663,2664,2667,2670,2671,2674,2682,2686,2696,2727,2790,2793,2794,2802,2876,2877,2879,2881,2882,2883,2894,2898,2923,2926,2937,2939,2952,2953,","1189,2189,2218,2432,2434,2457,2475,2620,2683,2915,2919,","34,1058,1350,2442,",107.0,11.0,118.0,4.0,106,0,3
13,13,Austria,0.0,Roman Chatolic,2562.0,8,6.35,910.0,0.0,"684,685,695,728,763,769,785,788,789,792,852,911,912,936,949,1004,1006,1007,1012,1043,1112,1116,1122,1131,1132,1133,1134,1188,1223,1226,1276,1285,1306,1307,1308,1309,1310,1311,1315,1473,1474,1475,1482,1749,1798,2876,2879,","242,425,478,701,704,721,722,725,727,734,736,737,741,742,752,754,757,758,759,764,766,767,770,794,796,801,938,941,942,956,961,966,972,976,977,978,1000,1001,1008,1016,1017,1021,1023,1024,1026,1027,1028,1029,1043,1046,1049,1050,1053,1057,1058,1108,1110,1115,1120,1130,1139,1189,1225,1252,1253,1268,1284,1286,1289,1290,1295,1296,1301,1304,1305,1481,1483,1484,1487,1488,1489,1490,1491,1494,1496,1542,1544,1545,1546,1547,1548,1580,1799,1800,1804,1807,1809,1815,","3,640,645,998,1004,1057,1058,1110,1112,1120,1544,1548,1642,1799,1925,2203,",47.0,98.0,145.0,16.0,45,7,14
14,14,Azerbaijan,0.0,Islam,2013.0,5,11.95,442.0,0.0,"2224,2876,2877,2879,2881,2882,2883,","2785,2832,2834,","1044,2224,2753,2785,2832,2834,2884,2888,",7.0,3.0,10.0,8.0,6,3,3
15,15,Bahamas,3542.0,Roman Chatolic,1.0,0,24.85,442.0,3542.0,"2892,2897,","2904,2907,2936,2938,","1283,1389,1989,2243,",2.0,4.0,6.0,4.0,2,0,2
16,16,Bangladesh,580.0,Islam,4246.0,2,25.0,442.0,0.136599152143194,"2693,2699,2733,2793,2802,2870,2875,2923,2926,","272,2801,","485,792,1345,1987,2693,2870,2875,",9.0,2.0,11.0,7.0,6,0,3
17,17,Barbados,97.0,Protestant,1.0,0,26.0,442.0,97.0,"2770,2771,",,,2.0,0.0,2.0,0.0,2,0,0
